Date,2026-03-18,Net Asset,32120627927.0

Stock Code,Stock Name,Shares,Weight,Close Price,Market Value,Share Change,Net Amount
2330,台積電,1432000.0,8.49%,1905.0,2727960000.0,-20000.0,-38100000.0
5536,聖暉*,2710000.0,5.76%,683.0,1850930000.0,0.0,0.0
6669,緯穎,461000.0,5.49%,3825.0,1763325000.0,-6000.0,-22950000.0
2360,致茂,855000.0,4.17%,1565.0,1338075000.0,-12000.0,-18780000.0
6139,亞翔,2178000.0,3.97%,585.0,1274130000.0,-30000.0,-17550000.0
2383,台光電,457000.0,3.84%,2700.0,1233900000.0,-6000.0,-16200000.0
2345,智邦,719000.0,3.58%,1600.0,1150400000.0,-10000.0,-16000000.0
3036,文曄,4490000.0,3.58%,256.0,1149440000.0,-63000.0,-16128000.0
7769,鴻勁,259000.0,3.53%,4380.0,1134420000.0,-4000.0,-17520000.0
3264,欣銓,6992000.0,3.38%,155.5,1087256000.0,-98000.0,-15239000.0
6223,旺矽,276000.0,3.21%,3735.0,1030860000.0,-4000.0,-14940000.0
8299,群聯,513000.0,3.15%,1975.0,1013175000.0,-7000.0,-13825000.0
2308,台達電,690000.0,3.15%,1465.0,1010850000.0,-10000.0,-14650000.0
3017,奇鋐,538000.0,3.10%,1850.0,995300000.0,-7000.0,-12950000.0
6257,矽格,6338000.0,2.69%,136.5,865137000.0,-88000.0,-12012000.0
3665,貿聯-KY,498136.0,2.62%,1690.0,841849840.0,0.0,0.0
2449,京元電子,2488000.0,2.50%,323.0,803624000.0,-35000.0,-11305000.0
3491,昇達科,539000.0,2.41%,1435.0,773465000.0,-8000.0,-11480000.0
2454,聯發科,443000.0,2.39%,1730.0,766390000.0,-6000.0,-10380000.0
2441,超豐,8180000.0,2.28%,89.5,732110000.0,-114000.0,-10203000.0
3324,雙鴻,543000.0,1.74%,1030.0,559290000.0,-8000.0,-8240000.0
4958,臻鼎-KY,2654000.0,1.71%,207.0,549378000.0,-37000.0,-7659000.0
6805,富世達,291000.0,1.67%,1840.0,535440000.0,-4000.0,-7360000.0
5439,高技,1923000.0,1.65%,275.0,528825000.0,-27000.0,-7425000.0
2428,興勤,3050000.0,1.57%,165.0,503250000.0,-42000.0,-6930000.0
8210,勤誠,564000.0,1.56%,890.0,501960000.0,-8000.0,-7120000.0
2421,建準,3307925.0,1.56%,151.5,501150637.5,-48000.0,-7272000.0
2316,楠梓電,4125000.0,1.44%,112.5,464062500.0,-57000.0,-6412500.0
1785,光洋科,4597000.0,1.43%,99.6,457861200.0,-64000.0,-6374400.0
3008,大立光,168000.0,1.28%,2440.0,409920000.0,-2000.0,-4880000.0
5289,宜鼎,286000.0,1.14%,1280.0,366080000.0,-4000.0,-5120000.0
8996,高力,373000.0,1.11%,952.0,355096000.0,-5000.0,-4760000.0
2404,漢唐,368000.0,1.07%,938.0,345184000.0,-5000.0,-4690000.0
2059,川湖,53000.0,0.56%,3410.0,180730000.0,-1000.0,-3410000.0
2472,立隆電,1223000.0,0.48%,125.0,152875000.0,0.0,0.0
2451,創見,464000.0,0.45%,313.5,145464000.0,0.0,0.0
2368,金像電,155000.0,0.44%,917.0,142135000.0,-2000.0,-1834000.0
2606,裕民,2233000.0,0.42%,61.0,136213000.0,-31000.0,-1891000.0
3711,日月光投控,349000.0,0.39%,357.5,124767500.0,-5000.0,-1787500.0
2327,國巨*,403000.0,0.35%,280.5,113041500.0,-6000.0,-1683000.0
2481,強茂,1028000.0,0.33%,102.5,105370000.0,0.0,0.0
6274,台燿,186000.0,0.31%,531.0,98766000.0,0.0,0.0
3376,新日興,355000.0,0.24%,221.0,78455000.0,-5000.0,-1105000.0
5274,信驊,6000.0,0.23%,12345.0,74070000.0,0.0,0.0
3529,力旺,23000.0,0.20%,2725.0,62675000.0,0.0,0.0
8046,南電,103000.0,0.18%,567.0,58401000.0,-1000.0,-567000.0
8464,億豐,142000.0,0.17%,396.0,56232000.0,-2000.0,-792000.0
6177,達麗,1184350.0,0.17%,47.35,56078972.5,-16000.0,-757600.0
2885,元大金,1102420.0,0.15%,44.65,49223053.0,-15000.0,-669750.0
1319,東陽,355000.0,0.09%,83.9,29784500.000000004,-5000.0,-419500.0
9938,百和,471000.0,0.07%,48.95,23055450.0,-7000.0,-342650.0
4441,振大環球,59000.0,0.04%,218.5,12891500.0,-1000.0,-218500.0
6768,志強-KY,40000.0,0.01%,101.0,4040000.0,-1000.0,-101000.0
6510,精測,1000.0,0.01%,3735.0,3735000.0,0.0,0.0
2548,華固,29600.0,0.01%,115.5,3418800.0,0.0,0.0
3443,創意,1000.0,0.01%,2515.0,2515000.0,0.0,0.0
1519,華城,600.0,0.00%,929.0,557400.0,0.0,0.0
8358,金居,1000.0,0.00%,273.5,273500.0,0.0,0.0
3706,神達,1400.0,0.00%,84.5,118300.0,0.0,0.0
2886,兆豐金,1000.0,0.00%,39.3,39300.0,0.0,0.0
2881,富邦金,250.0,0.00%,89.5,22375.0,0.0,0.0
