Date,2026-03-13,Net Asset,14490967126.0

Stock Code,Stock Name,Shares,Weight,Close Price,Market Value,Share Change,Net Amount
2330,台積電,556000.0,7.16%,1865.0,1036940000.0,0.0,0.0
2383,台光電,299000.0,5.58%,2705.0,808795000.0,0.0,0.0
8299,群聯,394000.0,4.89%,1800.0,709200000.0,0.0,0.0
2345,智邦,488000.0,4.78%,1420.0,692960000.0,0.0,0.0
6515,穎崴,100000.0,4.34%,6285.0,628500000.0,0.0,0.0
6223,旺矽,175000.0,4.29%,3550.0,621250000.0,0.0,0.0
3017,奇鋐,331000.0,4.26%,1865.0,617315000.0,0.0,0.0
3037,欣興,1193000.0,4.18%,508.0,606044000.0,0.0,0.0
2408,南亞科,2379000.0,3.91%,238.0,566202000.0,0.0,0.0
2308,台達電,396000.0,3.78%,1385.0,548460000.0,-108000.0,-149580000.0
3163,波若威,612000.0,3.75%,888.0,543456000.0,0.0,0.0
8996,高力,599000.0,3.72%,899.0,538501000.0,0.0,0.0
7769,鴻勁,127000.0,3.46%,3950.0,501650000.0,0.0,0.0
2360,致茂,313000.0,3.30%,1530.0,478890000.0,0.0,0.0
2059,川湖,134000.0,3.11%,3365.0,450910000.0,0.0,0.0
3533,嘉澤,228000.0,2.75%,1750.0,399000000.0,64000.0,112000000.0
3665,貿聯-KY,217000.0,2.38%,1590.0,345030000.0,0.0,0.0
5347,世界,2501000.0,1.97%,114.0,285114000.0,0.0,0.0
2449,京元電子,932000.0,1.90%,295.5,275406000.0,0.0,0.0
5274,信驊,26000.0,1.88%,10495.0,272870000.0,0.0,0.0
4749,新應材,240000.0,1.53%,925.0,222000000.0,0.0,0.0
7751,竑騰,166000.0,1.52%,1325.0,219950000.0,0.0,0.0
6442,光聖,124000.0,1.45%,1690.0,209560000.0,0.0,0.0
6669,緯穎,50000.0,1.40%,4070.0,203500000.0,0.0,0.0
6781,AES-KY,191000.0,1.32%,1005.0,191955000.0,0.0,0.0
1519,華城,204000.0,1.30%,921.0,187884000.0,0.0,0.0
2486,一詮,1150000.0,1.21%,152.0,174800000.0,0.0,0.0
8358,金居,713000.0,1.19%,241.5,172189500.0,0.0,0.0
5289,宜鼎,157000.0,1.10%,1015.0,159355000.0,0.0,0.0
8210,勤誠,165000.0,1.02%,894.0,147510000.0,0.0,0.0
6531,愛普*,245000.0,0.90%,531.0,130095000.0,0.0,0.0
8021,尖點,509920.0,0.86%,243.5,124165520.0,0.0,0.0
3661,世芯-KY,37000.0,0.81%,3190.0,118030000.0,0.0,0.0
6805,富世達,55000.0,0.67%,1755.0,96525000.0,0.0,0.0
8046,南電,160000.0,0.57%,515.0,82400000.0,0.0,0.0
3189,景碩,237013.0,0.52%,317.5,75251627.5,0.0,0.0
2317,鴻海,325000.0,0.48%,214.5,69712500.0,0.0,0.0
2368,金像電,60000.0,0.39%,935.0,56100000.0,0.0,0.0
6584,南俊國際,136000.0,0.36%,388.5,52836000.0,0.0,0.0
3529,力旺,21000.0,0.36%,2480.0,52080000.0,0.0,0.0
3653,健策,14000.0,0.31%,3245.0,45430000.0,0.0,0.0
2344,華邦電,379000.0,0.28%,109.0,41311000.0,0.0,0.0
5439,高技,126000.0,0.24%,275.0,34650000.0,0.0,0.0
