Date,2026-01-23,Net Asset,52496482795.0

Stock Code,Stock Name,Shares,Weight,Close Price,Market Value,Share Change,Net Amount
2330,台積電,2913000.0,9.82%,1770.0,5156010000.0,0.0,0.0
2308,台達電,3094000.0,7.43%,1260.0,3898440000.0,0.0,0.0
8299,群聯,1848000.0,7.04%,2000.0,3696000000.0,0.0,0.0
3017,奇鋐,2290000.0,6.0%,1375.0,3148750000.0,0.0,0.0
2345,智邦,2526000.0,5.65%,1175.0,2968050000.0,0.0,0.0
6274,台燿,5399000.0,5.18%,504.0,2721096000.0,0.0,0.0
6669,緯穎,722000.0,5.08%,3695.0,2667790000.0,0.0,0.0
6223,旺矽,962000.0,4.66%,2545.0,2448290000.0,0.0,0.0
2383,台光電,1352000.0,4.64%,1800.0,2433600000.0,0.0,0.0
3653,健策,767000.0,4.08%,2795.0,2143765000.0,0.0,0.0
3665,貿聯-KY,1483848.0,3.93%,1390.0,2062548720.0,0.0,0.0
2327,國巨*,6551000.0,3.64%,291.5,1909616500.0,0.0,0.0
2368,金像電,2797000.0,3.44%,646.0,1806862000.0,0.0,0.0
3661,世芯-KY,458000.0,2.99%,3430.0,1570940000.0,0.0,0.0
8210,勤誠,1563000.0,2.89%,969.0,1514547000.0,50000.0,48450000.0
8046,南電,3788000.0,2.76%,382.0,1447016000.0,0.0,0.0
6805,富世達,1016000.0,2.67%,1380.0,1402080000.0,0.0,0.0
5274,信驊,142000.0,2.4%,8870.0,1259540000.0,0.0,0.0
2313,華通,5013000.0,1.63%,171.0,857223000.0,0.0,0.0
6515,穎崴,214000.0,1.59%,3905.0,835670000.0,21000.0,82005000.0
3037,欣興,1866000.0,1.2%,339.0,632574000.0,0.0,0.0
3533,嘉澤,376000.0,1.04%,1450.0,545200000.0,0.0,0.0
2059,川湖,147000.0,1.0%,3570.0,524790000.0,0.0,0.0
8358,金居,1826000.0,0.95%,274.5,501237000.0,-200000.0,-54900000.0
1815,富喬,4454000.0,0.79%,93.7,417339800.0,0.0,0.0
6488,環球晶,766000.0,0.77%,528.0,404448000.0,0.0,0.0
6191,精成科,3238000.0,0.74%,119.5,386941000.0,0.0,0.0
6415,矽力*-KY,1474000.0,0.74%,265.0,390610000.0,0.0,0.0
6139,亞翔,668000.0,0.7%,552.0,368736000.0,0.0,0.0
5269,祥碩,262000.0,0.67%,1350.0,353700000.0,0.0,0.0
1319,東陽,2563000.0,0.53%,108.0,276804000.0,0.0,0.0
3211,順達,570000.0,0.35%,319.0,181830000.0,0.0,0.0
3376,新日興,727000.0,0.31%,226.5,164665500.0,0.0,0.0
6510,精測,47000.0,0.26%,2930.0,137710000.0,0.0,0.0
1802,台玻,2065000.0,0.2%,49.8,102837000.0,0.0,0.0
3217,優群,326000.0,0.1%,159.5,51997000.0,0.0,0.0
5536,聖暉*,17000.0,0.02%,684.0,11628000.0,0.0,0.0
3008,大立光,3000.0,0.01%,2460.0,7380000.0,0.0,0.0
2357,華碩,2000.0,0.0%,515.0,1030000.0,0.0,0.0
8996,高力,1000.0,0.0%,718.0,718000.0,0.0,0.0
2439,美律,2000.0,0.0%,106.0,212000.0,0.0,0.0
3045,台灣大,2000.0,0.0%,107.5,215000.0,0.0,0.0
2454,聯發科,1000.0,0.0%,1630.0,1630000.0,0.0,0.0
2884,玉山金,2010.0,0.0%,33.25,66832.5,0.0,0.0
2449,京元電子,1000.0,0.0%,286.5,286500.0,0.0,0.0
2317,鴻海,1000.0,0.0%,221.5,221500.0,0.0,0.0
3715,定穎投控,1960.0,0.0%,141.5,277340.0,0.0,0.0
1303,南亞,1000.0,0.0%,77.1,77100.0,0.0,0.0
3583,辛耘,2000.0,0.0%,331.5,663000.0,0.0,0.0
3711,日月光投控,2000.0,0.0%,307.5,615000.0,0.0,0.0
