Date,2026-08-21,Net Asset,10132928242.0

Stock Code,Stock Name,Shares,Weight,Close Price,Market Value,Share Change,Net Amount
2330,台灣積體電路製造,588000.0,13.98%,2410.0,1417080000.0,0.0,0.0
2376,技嘉科技,1448000.0,4.85%,339.5,491596000.0,0.0,0.0
2603,長榮海運,1737000.0,4.31%,251.5,436855500.0,0.0,0.0
4904,遠傳電信,3832000.0,3.88%,102.5,392780000.0,0.0,0.0
2412,中華電信,2828000.0,3.81%,136.5,386022000.0,0.0,0.0
6669,緯穎科技服務,53000.0,3.27%,6255.0,331515000.0,0.0,0.0
3653,健策精密工業,49000.0,2.61%,5395.0,264355000.0,0.0,0.0
2345,智邦科技,124000.0,2.49%,2035.0,252340000.0,0.0,0.0
1504,東元電機,3473000.0,2.47%,72.1,250403299.99999997,0.0,0.0
3105,穩懋半導體,656000.0,2.41%,373.0,244688000.0,0.0,0.0
3081,聯亞光電工業,83000.0,2.39%,2920.0,242360000.0,0.0,0.0
7750,新代科技,108000.0,2.36%,2215.0,239220000.0,0.0,0.0
6442,光紅建聖,148000.0,2.23%,1525.0,225700000.0,0.0,0.0
2027,大成不銹鋼工業,4181000.0,2.08%,50.3,210304300.0,0.0,0.0
7769,鴻勁精密,31000.0,1.96%,6405.0,198555000.0,0.0,0.0
3711,日月光投資控股,335000.0,1.94%,587.0,196645000.0,0.0,0.0
3017,奇鋐科技,68000.0,1.92%,2865.0,194820000.0,0.0,0.0
2454,聯發科技,50000.0,1.87%,3790.0,189500000.0,0.0,0.0
2610,中華航空,8783000.0,1.77%,20.4,179173200.0,0.0,0.0
3037,欣興電子,160000.0,1.71%,1085.0,173600000.0,0.0,0.0
3036,文曄科技,788000.0,1.6%,206.0,162328000.0,0.0,0.0
6147,頎邦科技,1019000.0,1.57%,156.5,159473500.0,0.0,0.0
6446,藥華醫藥,108000.0,1.49%,1400.0,151200000.0,0.0,0.0
2059,川湖科技,11000.0,1.45%,13385.0,147235000.0,0.0,0.0
2308,台達電子工業,82000.0,1.42%,1750.0,143500000.0,0.0,0.0
2383,台光電子材料,23000.0,1.29%,5680.0,130640000.0,0.0,0.0
1216,統一企業,1657000.0,1.27%,77.5,128417500.0,0.0,0.0
8996,高力熱處理工業,113000.0,1.22%,1090.0,123170000.0,0.0,0.0
2408,南亞科技,193000.0,1.01%,528.0,101904000.0,0.0,0.0
2395,研華,146000.0,0.94%,649.0,94754000.0,0.0,0.0
2368,金像電子（股）公司,98000.0,0.93%,965.0,94570000.0,0.0,0.0
3008,大立光電,12000.0,0.66%,5610.0,67320000.0,0.0,0.0
6187,萬潤科技,56000.0,0.66%,1195.0,66920000.0,0.0,0.0
8046,南亞電路板,48000.0,0.54%,1135.0,54480000.0,0.0,0.0
2327,國巨,89000.0,0.49%,554.0,49306000.0,0.0,0.0
4958,臻鼎科技控股,110000.0,0.48%,441.0,48510000.0,0.0,0.0
2344,華邦電子,243000.0,0.43%,181.0,43983000.0,0.0,0.0
8299,群聯電子,20000.0,0.41%,2075.0,41500000.0,0.0,0.0
3131,弘塑科技,12000.0,0.27%,2310.0,27720000.0,0.0,0.0
2881,富邦金融控股,154000.0,0.2%,134.0,20636000.0,0.0,0.0
2891,中國信託金融控股,306000.0,0.2%,65.0,19890000.0,0.0,0.0
2303,聯華電子,171000.0,0.2%,116.5,19921500.0,0.0,0.0
1802,台灣玻璃工業,357000.0,0.2%,57.6,20563200.0,0.0,0.0
3665,貿聯控股（BizLink Holding In,9000.0,0.2%,2275.0,20475000.0,0.0,0.0
2049,上銀科技,55000.0,0.19%,349.0,19195000.0,0.0,0.0
3529,力旺電子,8000.0,0.17%,2155.0,17240000.0,0.0,0.0
2317,鴻海精密工業,64000.0,0.16%,245.5,15712000.0,0.0,0.0
2360,致茂電子,5000.0,0.1%,2100.0,10500000.0,0.0,0.0
6488,環球晶圓,10000.0,0.09%,941.0,9410000.0,0.0,0.0
3189,景碩科技,2000.0,0.02%,811.0,1622000.0,0.0,0.0
