Date,2026-03-27,Net Asset,98953918008.0

Stock Code,Stock Name,Shares,Weight,Close Price,Market Value,Share Change,Net Amount
2330,台積電,4873000.0,8.96%,1820.0,8868860000.0,0.0,0.0
2383,台光電,2636000.0,7.75%,2910.0,7670760000.0,0.0,0.0
2308,台達電,4339000.0,6.62%,1510.0,6551890000.0,0.0,0.0
3017,奇鋐,2976000.0,6.6%,2195.0,6532320000.0,0.0,0.0
3653,健策,1378000.0,5.63%,4040.0,5567120000.0,0.0,0.0
2345,智邦,3301000.0,5.52%,1655.0,5463155000.0,0.0,0.0
2368,金像電,5841000.0,5.45%,924.0,5397084000.0,0.0,0.0
3665,貿聯-KY,2775848.0,5.22%,1860.0,5163077280.0,0.0,0.0
6223,旺矽,1384000.0,5.13%,3665.0,5072360000.0,0.0,0.0
3037,欣興,7410000.0,3.78%,505.0,3742050000.0,0.0,0.0
8046,南電,5697000.0,3.23%,561.0,3196017000.0,0.0,0.0
5274,信驊,258000.0,3.01%,11555.0,2981190000.0,0.0,0.0
2327,國巨*,10803000.0,2.84%,260.0,2808780000.0,0.0,0.0
3711,日月光投控,6039000.0,2.16%,353.5,2134786500.0,385000.0,136097500.0
6515,穎崴,268000.0,2.14%,7915.0,2121220000.0,0.0,0.0
2449,京元電子,7082000.0,1.99%,278.5,1972337000.0,0.0,0.0
6510,精測,591000.0,1.94%,3240.0,1914840000.0,0.0,0.0
3211,順達,3969000.0,1.46%,365.0,1448685000.0,771000.0,281415000.0
8210,勤誠,1459000.0,1.34%,909.0,1326231000.0,0.0,0.0
6805,富世達,682000.0,1.31%,1905.0,1299210000.0,0.0,0.0
1303,南亞,17098000.0,1.28%,74.2,1268671600.0,0.0,0.0
3661,世芯-KY,339000.0,1.04%,3040.0,1030560000.0,0.0,0.0
3189,景碩,2657000.0,0.95%,352.0,935264000.0,0.0,0.0
6139,亞翔,1525000.0,0.88%,574.0,875350000.0,0.0,0.0
2454,聯發科,487000.0,0.78%,1585.0,771895000.0,0.0,0.0
6488,環球晶,1701000.0,0.77%,447.5,761197500.0,0.0,0.0
5347,世界,5719000.0,0.7%,120.5,689139500.0,0.0,0.0
3443,創意,265000.0,0.66%,2460.0,651900000.0,0.0,0.0
6274,台燿,845000.0,0.53%,626.0,528970000.0,0.0,0.0
2404,漢唐,574000.0,0.51%,880.0,505120000.0,0.0,0.0
8358,金居,1865000.0,0.45%,237.0,442005000.0,0.0,0.0
4979,華星光,1037000.0,0.42%,396.5,411170500.0,0.0,0.0
1326,台化,8828000.0,0.39%,44.25,390639000.0,0.0,0.0
6187,萬潤,388000.0,0.38%,968.0,375584000.0,0.0,0.0
6191,精成科,3400000.0,0.33%,95.8,325720000.0,0.0,0.0
3376,新日興,1426000.0,0.3%,207.5,295895000.0,0.0,0.0
3264,欣銓,1790000.0,0.29%,158.0,282820000.0,0.0,0.0
8996,高力,335000.0,0.29%,865.0,289775000.0,0.0,0.0
2408,南亞科,1306000.0,0.29%,219.5,286667000.0,0.0,0.0
3533,嘉澤,115000.0,0.26%,2260.0,259900000.0,0.0,0.0
6669,緯穎,74000.0,0.25%,3395.0,251230000.0,0.0,0.0
3324,雙鴻,159000.0,0.16%,993.0,157887000.0,0.0,0.0
1319,東陽,1502000.0,0.13%,83.4,125266800.00000001,0.0,0.0
2002,中鋼,4927000.0,0.1%,19.6,96569200.0,0.0,0.0
3217,優群,356000.0,0.06%,156.0,55536000.0,0.0,0.0
3008,大立光,8000.0,0.02%,2220.0,17760000.0,0.0,0.0
2357,華碩,6000.0,0.0%,577.0,3462000.0,0.0,0.0
1815,富喬,3000.0,0.0%,106.5,319500.0,0.0,0.0
2439,美律,6000.0,0.0%,85.3,511800.0,0.0,0.0
3045,台灣大,6000.0,0.0%,109.5,657000.0,0.0,0.0
2313,華通,5000.0,0.0%,270.0,1350000.0,0.0,0.0
3583,辛耘,6000.0,0.0%,497.5,2985000.0,0.0,0.0
