Date,2026-04-30,Net Asset,37787585067.0

Stock Code,Stock Name,Shares,Weight,Close Price,Market Value,Share Change,Net Amount
2330,台灣積體,3600000.0,20.340%,2135.0,7686000000.0,0.0,0.0
2383,台光電子,765000.0,9.201%,4545.0,3476925000.0,0.0,0.0
3037,欣興電子,3200000.0,7.478%,883.0,2825600000.0,0.0,0.0
8299,群聯電子,1300000.0,6.537%,1900.0,2470000000.0,0.0,0.0
2308,台達電子,1020000.0,5.844%,2165.0,2208300000.0,0.0,0.0
2345,智邦科技,730000.0,4.405%,2280.0,1664400000.0,0.0,0.0
8046,南亞電路,1650000.0,4.388%,1005.0,1658250000.0,0.0,0.0
5274,信驊科技,100000.0,4.360%,16475.0,1647500000.0,0.0,0.0
3017,奇鋐科技,570000.0,4.276%,2835.0,1615950000.0,0.0,0.0
2368,金像電子,1080000.0,3.973%,1390.0,1501200000.0,0.0,0.0
2408,南亞科技,6200000.0,3.536%,215.5,1336100000.0,0.0,0.0
2454,聯發科技,500000.0,3.454%,2610.0,1305000000.0,0.0,0.0
6223,旺矽科技,260000.0,3.389%,4925.0,1280500000.0,0.0,0.0
7769,鴻勁精密,250000.0,3.272%,4945.0,1236250000.0,0.0,0.0
3653,健策精密,200000.0,2.847%,5380.0,1076000000.0,0.0,0.0
3189,景碩科技,2000000.0,2.795%,528.0,1056000000.0,0.0,0.0
3665,貿聯-KY,380000.0,2.786%,2770.0,1052600000.0,0.0,0.0
2327,國巨股份,3200000.0,2.684%,317.0,1014400000.0,0.0,0.0
1590,亞德客-KY,400000.0,1.540%,1455.0,582000000.0,0.0,0.0
2404,漢唐集成,330000.0,0.830%,950.0,313500000.0,0.0,0.0
6515,穎崴科技,1000.0,0.027%,10385.0,10385000.0,0.0,0.0
6669,緯穎科技,1000.0,0.012%,4675.0,4675000.0,0.0,0.0
3711,日月光投,9000.0,0.011%,478.0,4302000.0,0.0,0.0
2059,川湖科技,1000.0,0.010%,3910.0,3910000.0,0.0,0.0
6510,中華精測,1000.0,0.009%,3440.0,3440000.0,0.0,0.0
2382,廣達電腦,9000.0,0.007%,312.5,2812500.0,0.0,0.0
2449,京元電子,9000.0,0.007%,302.5,2722500.0,0.0,0.0
2313,華通電腦,9000.0,0.006%,244.5,2200500.0,0.0,0.0
2360,致茂電子,1000.0,0.006%,2120.0,2120000.0,0.0,0.0
2317,鴻海精密,9000.0,0.005%,219.5,1975500.0,0.0,0.0
2603,長榮海運,9000.0,0.005%,202.0,1818000.0,0.0,0.0
2337,旺宏電子,9000.0,0.004%,154.0,1386000.0,0.0,0.0
5347,世界先進,9000.0,0.003%,145.5,1309500.0,0.0,0.0
3231,緯創資通,9000.0,0.003%,137.0,1233000.0,0.0,0.0
8210,勤誠興業,1000.0,0.003%,1130.0,1130000.0,0.0,0.0
6274,台燿科技,1000.0,0.003%,1010.0,1010000.0,0.0,0.0
1519,華城電機,1000.0,0.002%,888.0,888000.0,0.0,0.0
2344,華邦電子,9000.0,0.002%,89.8,808200.0,0.0,0.0
2881,富邦金融,9000.0,0.002%,90.0,810000.0,0.0,0.0
2882,國泰金融,9000.0,0.002%,77.2,694800.0,0.0,0.0
2885,元大金融,9000.0,0.001%,52.2,469800.0,0.0,0.0
2891,中國信託,9000.0,0.001%,52.3,470700.0,0.0,0.0
3044,健鼎科技,1000.0,0.001%,448.5,448500.0,0.0,0.0
2890,永豐金融,9000.0,0.001%,30.95,278550.0,0.0,0.0
3036,文曄科技,1000.0,0.001%,204.0,204000.0,0.0,0.0
2412,中華電信,1000.0,0.000%,136.0,136000.0,0.0,0.0
5871,中租-KY,1000.0,0.000%,115.5,115500.0,0.0,0.0
3045,台灣大哥,1000.0,0.000%,111.5,111500.0,0.0,0.0
1303,南亞塑膠,1000.0,0.000%,89.6,89600.0,0.0,0.0
6505,台塑石化,1000.0,0.000%,56.4,56400.0,0.0,0.0
