Date,2026-06-04,Net Asset,48532891227.0

Stock Code,Stock Name,Shares,Weight,Close Price,Market Value,Share Change,Net Amount
2330,台積電,1706000.0,8.38%,2385.0,4068810000.0,0.0,0.0
2383,台光電,563000.0,5.60%,4830.0,2719290000.0,0.0,0.0
3037,欣興,2797000.0,5.60%,971.0,2715887000.0,0.0,0.0
2345,智邦,977000.0,5.05%,2510.0,2452270000.0,0.0,0.0
6669,緯穎,386000.0,4.43%,5570.0,2150020000.0,0.0,0.0
6223,旺矽,326000.0,4.08%,6070.0,1978820000.0,0.0,0.0
8996,高力,1630000.0,3.76%,1120.0,1825600000.0,0.0,0.0
2454,聯發科,406000.0,3.71%,4430.0,1798580000.0,0.0,0.0
3017,奇鋐,634000.0,3.54%,2710.0,1718140000.0,0.0,0.0
2059,川湖,312000.0,3.44%,5350.0,1669200000.0,0.0,0.0
6584,南俊國際,2204000.0,3.04%,670.0,1476680000.0,0.0,0.0
3665,貿聯-KY,652000.0,2.90%,2155.0,1405060000.0,0.0,0.0
3443,創意,311000.0,2.82%,4400.0,1368400000.0,0.0,0.0
2368,金像電,945000.0,2.63%,1350.0,1275750000.0,300000.0,405000000.0
6515,穎崴,145000.0,2.58%,8650.0,1254250000.0,0.0,0.0
8299,群聯,475000.0,2.52%,2580.0,1225500000.0,0.0,0.0
3661,世芯-KY,280000.0,2.50%,4340.0,1215200000.0,0.0,0.0
2327,國巨*,1566000.0,2.40%,743.0,1163538000.0,0.0,0.0
2455,全新,2753000.0,2.28%,402.0,1106706000.0,0.0,0.0
3711,日月光投控,1629000.0,1.99%,593.0,965997000.0,0.0,0.0
3105,穩懋,1949000.0,1.96%,487.5,950137500.0,0.0,0.0
3081,聯亞,366000.0,1.95%,2580.0,944280000.0,0.0,0.0
2308,台達電,344000.0,1.72%,2425.0,834200000.0,0.0,0.0
6274,台燿,471000.0,1.64%,1695.0,798345000.0,0.0,0.0
7769,鴻勁,97000.0,1.48%,7385.0,716345000.0,0.0,0.0
8046,南電,718000.0,1.30%,878.0,630404000.0,0.0,0.0
7751,竑騰,375000.0,1.22%,1580.0,592500000.0,0.0,0.0
5274,信驊,29000.0,1.09%,18265.0,529685000.0,0.0,0.0
2360,致茂,200000.0,1.08%,2620.0,524000000.0,0.0,0.0
3583,辛耘,566000.0,1.02%,872.0,493552000.0,0.0,0.0
6187,萬潤,435000.0,1.00%,1115.0,485025000.0,435000.0,485025000.0
6510,精測,137000.0,0.99%,3505.0,480185000.0,-125000.0,-438125000.0
3008,大立光,125000.0,0.99%,3825.0,478125000.0,125000.0,478125000.0
3653,健策,102000.0,0.78%,3730.0,380460000.0,0.0,0.0
4991,環宇-KY,553000.0,0.78%,682.0,377146000.0,0.0,0.0
3189,景碩,470013.0,0.67%,692.0,325248996.0,0.0,0.0
5289,宜鼎,153000.0,0.60%,1905.0,291465000.0,0.0,0.0
6531,愛普*,265000.0,0.58%,1055.0,279575000.0,0.0,0.0
2337,旺宏,1434000.0,0.46%,156.5,224421000.0,0.0,0.0
8021,尖點,501000.0,0.46%,441.0,220941000.0,0.0,0.0
6805,富世達,109000.0,0.45%,1985.0,216365000.0,0.0,0.0
6139,亞翔,250000.0,0.42%,825.0,206250000.0,0.0,0.0
3260,威剛,382000.0,0.36%,458.0,174956000.0,0.0,0.0
7734,印能科技,56000.0,0.36%,3110.0,174160000.0,0.0,0.0
6442,光聖,74000.0,0.33%,2145.0,158730000.0,0.0,0.0
3533,嘉澤,4000.0,0.02%,2400.0,9600000.0,0.0,0.0
3491,昇達科,1000.0,0.00%,1950.0,1950000.0,0.0,0.0
