Date,2026-07-01,Net Asset,71904910669.0

Stock Code,Stock Name,Shares,Weight,Close Price,Market Value,Share Change,Net Amount
2330,台灣積體,3400000.0,11.845%,2505.0,8517000000.0,0.0,0.0
2327,國巨股份,6150000.0,9.750%,1140.0,7011000000.0,0.0,0.0
2383,台光電子,850000.0,6.543%,5535.0,4704750000.0,0.0,0.0
2454,聯發科技,900000.0,5.426%,4335.0,3901500000.0,50000.0,216750000.0
2408,南亞科技,9000000.0,5.269%,421.0,3789000000.0,0.0,0.0
3037,欣興電子,3600000.0,5.207%,1040.0,3744000000.0,0.0,0.0
8299,群聯電子,1500000.0,4.735%,2270.0,3405000000.0,0.0,0.0
6274,台燿科技,1800000.0,4.231%,1690.0,3042000000.0,100000.0,169000000.0
6223,旺矽科技,430000.0,4.004%,6695.0,2878850000.0,0.0,0.0
2345,智邦科技,1000000.0,3.699%,2660.0,2660000000.0,30000.0,79800000.0
8046,南亞電路,2100000.0,3.432%,1175.0,2467500000.0,0.0,0.0
2059,川湖科技,310000.0,3.300%,7655.0,2373050000.0,0.0,0.0
2303,聯華電子,14000000.0,3.290%,169.0,2366000000.0,1000000.0,169000000.0
3189,景碩科技,2650000.0,3.273%,888.0,2353200000.0,0.0,0.0
7769,鴻勁精密,300000.0,2.904%,6960.0,2088000000.0,0.0,0.0
5274,信驊科技,120000.0,2.861%,17145.0,2057400000.0,0.0,0.0
2492,華新科技,3200000.0,2.684%,603.0,1929600000.0,0.0,0.0
3711,日月光投,2700000.0,2.640%,703.0,1898100000.0,0.0,0.0
6515,穎崴科技,200000.0,2.473%,8890.0,1778000000.0,0.0,0.0
2344,華邦電子,8000000.0,2.114%,190.0,1520000000.0,0.0,0.0
8996,高力熱處,620000.0,1.341%,1555.0,964100000.0,0.0,0.0
6669,緯穎科技,185000.0,1.295%,5035.0,931475000.0,0.0,0.0
4958,臻鼎-KY,1500000.0,1.258%,603.0,904500000.0,0.0,0.0
3665,貿聯-KY,450000.0,1.258%,2010.0,904500000.0,0.0,0.0
8210,勤誠興業,690000.0,1.243%,1295.0,893550000.0,0.0,0.0
2404,漢唐集成,650000.0,1.175%,1300.0,845000000.0,0.0,0.0
3017,奇鋐科技,9000.0,0.033%,2620.0,23580000.0,0.0,0.0
2308,台達電子,9000.0,0.025%,1990.0,17910000.0,0.0,0.0
2368,金像電子,9000.0,0.015%,1220.0,10980000.0,0.0,0.0
3653,健策精密,1000.0,0.005%,3400.0,3400000.0,0.0,0.0
2382,廣達電腦,9000.0,0.005%,372.0,3348000.0,0.0,0.0
6510,中華精測,1000.0,0.005%,3285.0,3285000.0,0.0,0.0
2449,京元電子,9000.0,0.004%,331.0,2979000.0,0.0,0.0
2360,致茂電子,1000.0,0.003%,2270.0,2270000.0,0.0,0.0
2317,鴻海精密,9000.0,0.003%,248.0,2232000.0,0.0,0.0
2313,華通電腦,9000.0,0.003%,220.0,1980000.0,0.0,0.0
3042,台灣晶技,9000.0,0.003%,206.0,1854000.0,0.0,0.0
5347,世界先進,9000.0,0.003%,204.5,1840500.0,0.0,0.0
2603,長榮海運,9000.0,0.002%,185.5,1669500.0,0.0,0.0
3231,緯創資通,9000.0,0.002%,159.5,1435500.0,0.0,0.0
2337,旺宏電子,9000.0,0.002%,143.5,1291500.0,0.0,0.0
2881,富邦金融,9000.0,0.002%,122.5,1102500.0,0.0,0.0
3324,雙鴻科技,1000.0,0.001%,1010.0,1010000.0,0.0,0.0
2882,國泰金融,9000.0,0.001%,95.0,855000.0,0.0,0.0
1519,華城電機,1000.0,0.001%,757.0,757000.0,0.0,0.0
2885,元大金融,9000.0,0.001%,66.0,594000.0,0.0,0.0
2891,中國信託,9000.0,0.001%,70.6,635400.0,0.0,0.0
3044,健鼎科技,1000.0,0.001%,506.0,506000.0,0.0,0.0
3036,文曄科技,1000.0,0.000%,211.0,211000.0,0.0,0.0
2412,中華電信,1000.0,0.000%,141.5,141500.0,0.0,0.0
