Date,2026-03-06,Net Asset,8380455720.0

Stock Code,Stock Name,Shares,Weight,Close Price,Market Value,Share Change,Net Amount
2330,台灣積體電路製造,839000.0,18.92%,1890.0,1585710000.0,0.0,0.0
2395,研華,900000.0,4.03%,375.0,337500000.0,13000.0,4875000.0
2412,中華電信,2392000.0,3.9%,136.5,326508000.0,0.0,0.0
4904,遠傳電信,3170000.0,3.52%,93.0,294810000.0,203000.0,18879000.0
4749,新應材,270000.0,3.27%,1015.0,274050000.0,33000.0,33495000.0
3533,嘉澤端子工業,160000.0,2.99%,1565.0,250400000.0,0.0,0.0
1216,統一企業,3294000.0,2.83%,71.9,236838600.00000003,2881000.0,207143900.00000003
3036,文曄科技,1086000.0,2.79%,215.5,234033000.0,0.0,0.0
3293,鈊象電子,321000.0,2.74%,716.0,229836000.0,159000.0,113844000.0
2454,聯發科技,109000.0,2.3%,1765.0,192385000.0,0.0,0.0
2881,富邦金融控股,2051100.0,2.17%,88.8,182137680.0,0.0,0.0
1605,華新麗華,5087000.0,1.99%,32.75,166599250.0,0.0,0.0
2308,台達電子工業,121000.0,1.91%,1320.0,159720000.0,0.0,0.0
3037,欣興電子,353000.0,1.82%,432.0,152496000.0,0.0,0.0
2317,鴻海精密工業,640000.0,1.7%,223.0,142720000.0,0.0,0.0
2360,致茂電子,100000.0,1.64%,1375.0,137500000.0,0.0,0.0
1477,聚陽實業,433000.0,1.59%,308.0,133364000.0,87000.0,26796000.0
3661,世芯電子,40000.0,1.58%,3310.0,132400000.0,1000.0,3310000.0
2345,智邦科技,90000.0,1.57%,1465.0,131850000.0,0.0,0.0
6789,采鈺科技,373000.0,1.54%,346.0,129058000.0,0.0,0.0
3017,奇鋐科技,68000.0,1.5%,1845.0,125460000.0,0.0,0.0
2383,台光電子材料,52000.0,1.46%,2360.0,122720000.0,0.0,0.0
3711,日月光投資控股,355000.0,1.45%,342.0,121410000.0,0.0,0.0
6488,環球晶圓,252000.0,1.4%,467.0,117684000.0,69000.0,32223000.0
3653,健策精密工業,33000.0,1.34%,3415.0,112695000.0,1000.0,3415000.0
6442,光紅建聖,57000.0,1.29%,1895.0,108015000.0,0.0,0.0
6223,旺矽科技,36000.0,1.27%,2965.0,106740000.0,1000.0,2965000.0
6669,緯穎科技服務,24000.0,1.21%,4215.0,101160000.0,8000.0,33720000.0
2327,國巨,335000.0,1.06%,265.0,88775000.0,0.0,0.0
2382,廣達電腦,299000.0,1.03%,289.0,86411000.0,1000.0,289000.0
2891,中國信託金融控股,1631000.0,1%,51.4,83833400.0,1000.0,51400.0
6515,穎崴科技,16000.0,1%,5250.0,84000000.0,0.0,0.0
8210,勤誠興業,88000.0,0.99%,939.0,82632000.0,12000.0,11268000.0
2368,金像電子（股）公司,90000.0,0.85%,792.0,71280000.0,0.0,0.0
2344,華邦電子,661000.0,0.84%,106.5,70396500.0,0.0,0.0
6239,力成科技,302000.0,0.81%,225.0,67950000.0,0.0,0.0
2449,京元電子,236000.0,0.8%,284.5,67142000.0,1000.0,284500.0
3105,穩懋半導體,226000.0,0.8%,298.5,67461000.0,0.0,0.0
6805,富世達,36000.0,0.79%,1845.0,66420000.0,0.0,0.0
7769,鴻勁精密,13000.0,0.65%,4215.0,54795000.0,1000.0,4215000.0
3665,貿聯控股（BizLink Holding In,31000.0,0.65%,1770.0,54870000.0,0.0,0.0
1519,華城電機,48000.0,0.53%,926.0,44448000.0,1000.0,926000.0
6781,AES Holding Co Ltd,42000.0,0.52%,1035.0,43470000.0,1000.0,1035000.0
3264,欣銓科技,242000.0,0.41%,143.0,34606000.0,1000.0,143000.0
3529,力旺電子,13000.0,0.37%,2390.0,31070000.0,0.0,0.0
5274,信驊科技,3000.0,0.35%,9705.0,29115000.0,0.0,0.0
6415,矽力杰,107000.0,0.32%,252.5,27017500.0,0.0,0.0
6274,台燿科技,48000.0,0.29%,504.0,24192000.0,1000.0,504000.0
2408,南亞科技,74000.0,0.21%,233.0,17242000.0,0.0,0.0
2059,川湖科技,5000.0,0.19%,3205.0,16025000.0,1000.0,3205000.0
