Date,2026-07-30,Net Asset,8522273405.0

Stock Code,Stock Name,Shares,Weight,Close Price,Market Value,Share Change,Net Amount
2330,台灣積體電路製造,588000.0,15.21%,2205.0,1296540000.0,0.0,0.0
2027,大成不銹鋼工業,9445000.0,4.84%,43.7,412746500.0,0.0,0.0
2376,技嘉科技,1170000.0,4.37%,318.5,372645000.0,0.0,0.0
2059,川湖科技,50000.0,4.19%,7140.0,357000000.0,0.0,0.0
2303,聯華電子,2899000.0,3.74%,110.0,318890000.0,0.0,0.0
3008,大立光電,81000.0,3.53%,3715.0,300915000.0,0.0,0.0
3036,文曄科技,1533000.0,3.3%,183.5,281305500.0,0.0,0.0
2327,國巨,600000.0,3.21%,456.5,273900000.0,0.0,0.0
6187,萬潤科技,319000.0,3.16%,845.0,269555000.0,0.0,0.0
6442,光紅建聖,255000.0,3.14%,1050.0,267750000.0,0.0,0.0
2345,智邦科技,124000.0,2.82%,1935.0,239940000.0,0.0,0.0
2383,台光電子材料,52000.0,2.63%,4315.0,224380000.0,0.0,0.0
2408,南亞科技,671000.0,2.58%,328.0,220088000.0,0.0,0.0
6147,頎邦科技,1656000.0,2.3%,118.5,196236000.0,0.0,0.0
4958,臻鼎科技控股,443000.0,1.95%,376.0,166568000.0,0.0,0.0
2454,聯發科技,50000.0,1.9%,3235.0,161750000.0,0.0,0.0
2395,研華,249000.0,1.6%,547.0,136203000.0,0.0,0.0
2412,中華電信,940000.0,1.55%,140.5,132070000.0,0.0,0.0
4904,遠傳電信,1242000.0,1.54%,105.5,131031000.0,0.0,0.0
6446,藥華醫藥,128000.0,1.54%,1025.0,131200000.0,0.0,0.0
6669,緯穎科技服務,26000.0,1.49%,4900.0,127400000.0,0.0,0.0
3081,聯亞光電工業,83000.0,1.45%,1485.0,123255000.0,0.0,0.0
3293,鈊象電子,146000.0,1.28%,749.0,109354000.0,0.0,0.0
3131,弘塑科技,49000.0,1.24%,2155.0,105595000.0,0.0,0.0
3653,健策精密工業,32000.0,1.18%,3135.0,100320000.0,0.0,0.0
1216,統一企業,1303000.0,1.16%,75.6,98506800.0,0.0,0.0
2308,台達電子工業,59000.0,1.06%,1530.0,90270000.0,0.0,0.0
3017,奇鋐科技,42000.0,1.04%,2110.0,88620000.0,0.0,0.0
3661,世芯電子,30000.0,0.98%,2785.0,83550000.0,0.0,0.0
3665,貿聯控股（BizLink Holding In,43000.0,0.96%,1910.0,82130000.0,0.0,0.0
8299,群聯電子,53000.0,0.93%,1495.0,79235000.0,0.0,0.0
2344,華邦電子,611000.0,0.85%,118.5,72403500.0,0.0,0.0
2368,金像電子（股）公司,98000.0,0.83%,721.0,70658000.0,0.0,0.0
3711,日月光投資控股,125000.0,0.74%,505.0,63125000.0,0.0,0.0
3037,欣興電子,76000.0,0.64%,716.0,54416000.0,0.0,0.0
2049,上銀科技,175000.0,0.58%,283.0,49525000.0,0.0,0.0
2891,中國信託金融控股,771000.0,0.57%,63.1,48650100.0,0.0,0.0
2881,富邦金融控股,363000.0,0.53%,124.0,45012000.0,0.0,0.0
2360,致茂電子,22000.0,0.49%,1910.0,42020000.0,0.0,0.0
3105,穩懋半導體,149000.0,0.47%,268.0,39932000.0,0.0,0.0
8046,南亞電路板,48000.0,0.47%,837.0,40176000.0,0.0,0.0
6488,環球晶圓,45000.0,0.41%,778.0,35010000.0,0.0,0.0
6223,旺矽科技,5000.0,0.28%,4800.0,24000000.0,0.0,0.0
6415,矽力杰,63000.0,0.28%,375.5,23656500.0,0.0,0.0
3529,力旺電子,10000.0,0.27%,2290.0,22900000.0,0.0,0.0
7769,鴻勁精密,4000.0,0.26%,5620.0,22480000.0,0.0,0.0
8996,高力熱處理工業,23000.0,0.21%,778.0,17894000.0,0.0,0.0
1802,台灣玻璃工業,393000.0,0.2%,42.6,16741800.0,0.0,0.0
2317,鴻海精密工業,64000.0,0.17%,229.5,14688000.0,0.0,0.0
3189,景碩科技,2000.0,0.01%,578.0,1156000.0,0.0,0.0
