Date,2026-06-11,Net Asset,10547940202.0

Stock Code,Stock Name,Shares,Weight,Close Price,Market Value,Share Change,Net Amount
2330,台灣積體電路製造,1096000.0,23.38%,2250.0,2466000000.0,0.0,0.0
3293,鈊象電子,479000.0,3.46%,762.0,364998000.0,0.0,0.0
2395,研華,752000.0,3.31%,464.0,348928000.0,0.0,0.0
1216,統一企業,3569000.0,2.56%,75.6,269816400.0,0.0,0.0
8046,南亞電路板,323000.0,2.47%,807.0,260661000.0,0.0,0.0
2308,台達電子工業,119000.0,2.44%,2160.0,257040000.0,0.0,0.0
2412,中華電信,1778000.0,2.44%,145.0,257810000.0,0.0,0.0
3661,世芯電子,60000.0,2.31%,4060.0,243600000.0,0.0,0.0
6223,旺矽科技,40000.0,2.31%,6090.0,243600000.0,0.0,0.0
2454,聯發科技,55000.0,2.13%,4085.0,224675000.0,0.0,0.0
2376,技嘉科技,657000.0,2.12%,340.0,223380000.0,0.0,0.0
2368,金像電子（股）公司,165000.0,2.1%,1345.0,221925000.0,0.0,0.0
2360,致茂電子,100000.0,2.08%,2190.0,219000000.0,0.0,0.0
3653,健策精密工業,60000.0,2.06%,3620.0,217200000.0,0.0,0.0
2059,川湖科技,33000.0,2%,6400.0,211200000.0,0.0,0.0
1477,聚陽實業,927000.0,1.98%,225.0,208575000.0,0.0,0.0
7769,鴻勁精密,29000.0,1.94%,7055.0,204595000.0,0.0,0.0
3036,文曄科技,868000.0,1.91%,232.5,201810000.0,0.0,0.0
6669,緯穎科技服務,41000.0,1.9%,4900.0,200900000.0,0.0,0.0
2049,上銀科技,623000.0,1.88%,318.5,198425500.0,0.0,0.0
3017,奇鋐科技,83000.0,1.84%,2335.0,193805000.0,0.0,0.0
2383,台光電子材料,37000.0,1.79%,5095.0,188515000.0,0.0,0.0
2345,智邦科技,66000.0,1.42%,2275.0,150150000.0,0.0,0.0
6442,光紅建聖,81000.0,1.4%,1820.0,147420000.0,0.0,0.0
3711,日月光投資控股,263000.0,1.36%,544.0,143072000.0,0.0,0.0
6805,富世達,77000.0,1.28%,1750.0,134750000.0,0.0,0.0
3105,穩懋半導體,279000.0,1.27%,481.5,134338500.0,0.0,0.0
2881,富邦金融控股,1027000.0,1.22%,125.5,128888500.0,0.0,0.0
4958,臻鼎科技控股,238000.0,1.19%,529.0,125902000.0,0.0,0.0
8996,高力熱處理工業,98000.0,1.06%,1140.0,111720000.0,0.0,0.0
6488,環球晶圓,129000.0,0.96%,786.0,101394000.0,0.0,0.0
8299,群聯電子,45000.0,0.94%,2200.0,99000000.0,0.0,0.0
2891,中國信託金融控股,1217000.0,0.78%,67.5,82147500.0,0.0,0.0
4904,遠傳電信,713000.0,0.74%,109.0,77717000.0,0.0,0.0
2344,華邦電子,491000.0,0.73%,156.5,76841500.0,0.0,0.0
3529,力旺電子,25000.0,0.71%,3015.0,75375000.0,0.0,0.0
6415,矽力杰,144000.0,0.66%,481.0,69264000.0,0.0,0.0
6789,采鈺科技,128000.0,0.55%,455.0,58240000.0,0.0,0.0
3665,貿聯控股（BizLink Holding In,25000.0,0.51%,2160.0,54000000.0,0.0,0.0
2408,南亞科技,143000.0,0.46%,340.0,48620000.0,0.0,0.0
6781,AES Holding Co Ltd,38000.0,0.42%,1155.0,43890000.0,0.0,0.0
8210,勤誠興業,20000.0,0.27%,1440.0,28800000.0,0.0,0.0
3533,嘉澤端子工業,13000.0,0.26%,2145.0,27885000.0,0.0,0.0
2317,鴻海精密工業,78000.0,0.19%,258.5,20163000.0,0.0,0.0
2474,可成科技,92000.0,0.18%,205.5,18906000.0,0.0,0.0
3037,欣興電子,6000.0,0.05%,854.0,5124000.0,0.0,0.0
2382,廣達電腦,14000.0,0.05%,370.0,5180000.0,0.0,0.0
6239,力成科技,16000.0,0.05%,333.0,5328000.0,0.0,0.0
1519,華城電機,5000.0,0.04%,773.0,3865000.0,0.0,0.0
3189,景碩科技,2000.0,0.01%,619.0,1238000.0,0.0,0.0
