Date,2026-03-20,Net Asset,29012276347.0

Stock Code,Stock Name,Shares,Weight,Close Price,Market Value,Share Change,Net Amount
2330,台灣積體,2730000.0,17.314%,1840.0,5023200000.0,0.0,0.0
8299,群聯電子,1300000.0,8.581%,1915.0,2489500000.0,20000.0,38300000.0
2383,台光電子,800000.0,7.748%,2810.0,2248000000.0,0.0,0.0
2408,南亞科技,8300000.0,6.694%,234.0,1942200000.0,0.0,0.0
3037,欣興電子,3200000.0,6.111%,554.0,1772800000.0,0.0,0.0
2308,台達電子,1100000.0,5.592%,1475.0,1622500000.0,0.0,0.0
7769,鴻勁精密,325000.0,4.598%,4105.0,1334125000.0,0.0,0.0
6223,旺矽科技,275000.0,3.659%,3860.0,1061500000.0,0.0,0.0
5274,信驊科技,90000.0,3.645%,11750.0,1057500000.0,0.0,0.0
2345,智邦科技,600000.0,3.330%,1610.0,966000000.0,20000.0,32200000.0
3017,奇鋐科技,450000.0,3.180%,2050.0,922500000.0,20000.0,41000000.0
3189,景碩科技,2300000.0,3.013%,380.0,874000000.0,0.0,0.0
2368,金像電子,880000.0,2.997%,988.0,869440000.0,0.0,0.0
2337,旺宏電子,4700000.0,2.592%,160.0,752000000.0,0.0,0.0
6515,穎崴科技,90000.0,2.460%,7930.0,713700000.0,0.0,0.0
8046,南亞電路,1300000.0,2.424%,541.0,703300000.0,0.0,0.0
6442,光紅建聖,340000.0,2.397%,2045.0,695300000.0,0.0,0.0
3653,健策精密,170000.0,2.256%,3850.0,654500000.0,0.0,0.0
2449,京元電子,2000000.0,2.123%,308.0,616000000.0,0.0,0.0
3711,日月光投,1700000.0,2.016%,344.0,584800000.0,0.0,0.0
3665,貿聯-KY,320000.0,2.013%,1825.0,584000000.0,0.0,0.0
1303,南亞塑膠,7000000.0,1.892%,78.4,548800000.0,0.0,0.0
2344,華邦電子,4400000.0,1.668%,110.0,484000000.0,0.0,0.0
6669,緯穎科技,1000.0,0.013%,3805.0,3805000.0,0.0,0.0
6510,中華精測,1000.0,0.012%,3600.0,3600000.0,0.0,0.0
2059,川湖科技,1000.0,0.012%,3405.0,3405000.0,0.0,0.0
2382,廣達電腦,9000.0,0.009%,283.5,2551500.0,0.0,0.0
2327,國巨股份,9000.0,0.008%,271.0,2439000.0,0.0,0.0
2313,華通電腦,9000.0,0.007%,222.0,1998000.0,0.0,0.0
2603,長榮海運,9000.0,0.007%,214.0,1926000.0,0.0,0.0
2317,鴻海精密,9000.0,0.006%,203.0,1827000.0,0.0,0.0
2454,聯發科技,1000.0,0.006%,1700.0,1700000.0,0.0,0.0
2360,致茂電子,1000.0,0.005%,1585.0,1585000.0,0.0,0.0
3231,緯創資通,9000.0,0.004%,130.0,1170000.0,0.0,0.0
5347,世界先進,9000.0,0.004%,116.0,1044000.0,0.0,0.0
1590,亞德客-KY,1000.0,0.003%,981.0,981000.0,0.0,0.0
2404,漢唐集成,1000.0,0.003%,930.0,930000.0,0.0,0.0
1519,華城電機,1000.0,0.003%,916.0,916000.0,0.0,0.0
8210,勤誠興業,1000.0,0.003%,912.0,912000.0,0.0,0.0
2881,富邦金融,9000.0,0.003%,88.6,797400.0,0.0,0.0
2882,國泰金融,9000.0,0.002%,72.0,648000.0,0.0,0.0
6274,台燿科技,1000.0,0.002%,554.0,554000.0,0.0,0.0
2891,中國信託,9000.0,0.002%,52.1,468900.0,0.0,0.0
2885,元大金融,9000.0,0.001%,44.2,397800.0,0.0,0.0
3044,健鼎科技,1000.0,0.001%,363.0,363000.0,0.0,0.0
1477,聚陽實業,1000.0,0.001%,285.0,285000.0,0.0,0.0
3036,文曄科技,1000.0,0.001%,254.0,254000.0,0.0,0.0
2645,長榮航太,1000.0,0.001%,153.0,153000.0,0.0,0.0
2412,中華電信,1000.0,0.000%,134.0,134000.0,0.0,0.0
3045,台灣大哥,1000.0,0.000%,109.0,109000.0,0.0,0.0
