Date,2026-07-22,Net Asset,39316291747.0

Stock Code,Stock Name,Shares,Weight,Close Price,Market Value,Share Change,Net Amount
2330,台積電,1406000.0,8.58%,2400.0,3374400000.0,0.0,0.0
2383,台光電,563000.0,7.34%,5125.0,2885375000.0,0.0,0.0
2345,智邦,1080000.0,6.28%,2285.0,2467800000.0,0.0,0.0
2059,川湖,293000.0,6.05%,8125.0,2380625000.0,0.0,0.0
3017,奇鋐,1002000.0,5.77%,2265.0,2269530000.0,0.0,0.0
3665,貿聯-KY,955000.0,5.14%,2115.0,2019825000.0,0.0,0.0
6223,旺矽,326000.0,4.97%,6000.0,1956000000.0,0.0,0.0
3037,欣興,2097000.0,4.84%,907.0,1901979000.0,0.0,0.0
8996,高力,1630000.0,4.48%,1080.0,1760400000.0,0.0,0.0
3008,大立光,420000.0,4.27%,4000.0,1680000000.0,0.0,0.0
2454,聯發科,406000.0,3.98%,3850.0,1563100000.0,0.0,0.0
2327,國巨*,2066000.0,3.69%,703.0,1452398000.0,0.0,0.0
6187,萬潤,1220000.0,3.27%,1055.0,1287100000.0,0.0,0.0
6584,南俊國際,2231000.0,3.13%,552.0,1231512000.0,0.0,0.0
3711,日月光投控,1629000.0,2.72%,656.0,1068624000.0,0.0,0.0
2303,聯電,7000000.0,2.47%,139.0,973000000.0,0.0,0.0
3443,創意,211000.0,2.35%,4370.0,922070000.0,0.0,0.0
2455,全新,2753000.0,2.27%,324.5,893348500.0,0.0,0.0
8299,群聯,445000.0,2.17%,1915.0,852175000.0,0.0,0.0
3661,世芯-KY,215000.0,1.96%,3590.0,771850000.0,0.0,0.0
8021,尖點,1501000.0,1.60%,418.5,628168500.0,0.0,0.0
3026,禾伸堂,909000.0,1.53%,663.0,602667000.0,0.0,0.0
6488,環球晶,394000.0,1.24%,1240.0,488560000.0,0.0,0.0
7751,竑騰,318000.0,1.02%,1260.0,400680000.0,0.0,0.0
3189,景碩,440013.0,0.89%,796.0,350250348.0,0.0,0.0
6515,穎崴,42000.0,0.69%,6500.0,273000000.0,-57000.0,-370500000.0
6139,亞翔,250000.0,0.54%,844.0,211000000.0,0.0,0.0
2337,旺宏,1343000.0,0.46%,135.0,181305000.0,0.0,0.0
7734,印能科技,56000.0,0.45%,3130.0,175280000.0,0.0,0.0
3363,上詮,300000.0,0.43%,566.0,169800000.0,0.0,0.0
6805,富世達,109000.0,0.39%,1395.0,152055000.0,0.0,0.0
3260,威剛,358000.0,0.35%,379.5,135861000.0,0.0,0.0
5289,宜鼎,98000.0,0.34%,1360.0,133280000.0,0.0,0.0
3583,辛耘,147000.0,0.29%,767.0,112749000.0,0.0,0.0
3264,欣銓,72000.0,0.04%,217.0,15624000.0,0.0,0.0
3491,昇達科,1000.0,0.00%,1300.0,1300000.0,0.0,0.0
