Date,2026-09-23,Net Asset,50825105683.0

Stock Code,Stock Name,Shares,Weight,Close Price,Market Value,Share Change,Net Amount
2330,台積電,1794000.0,8.82%,2500.0,4485000000.0,0.0,0.0
2454,聯發科,736000.0,7.51%,5185.0,3816160000.0,0.0,0.0
3105,穩懋,5709000.0,5.58%,497.0,2837373000.0,0.0,0.0
6139,亞翔,3721000.0,5.39%,736.0,2738656000.0,0.0,0.0
2059,川湖,180000.0,4.39%,12390.0,2230200000.0,0.0,0.0
6669,緯穎,1016225.0,4.21%,2105.0,2139153625.0,0.0,0.0
6531,愛普*,2041000.0,3.96%,987.0,2014467000.0,0.0,0.0
2360,致茂,820000.0,3.75%,2325.0,1906500000.0,0.0,0.0
3491,昇達科,1180000.0,3.63%,1565.0,1846700000.0,0.0,0.0
6223,旺矽,301000.0,3.33%,5620.0,1691620000.0,0.0,0.0
2383,台光電,311000.0,3.07%,5020.0,1561220000.0,0.0,0.0
3008,大立光,252000.0,3.07%,6190.0,1559880000.0,0.0,0.0
4958,臻鼎-KY,3158000.0,2.94%,473.0,1493734000.0,0.0,0.0
3017,奇鋐,372000.0,2.54%,3470.0,1290840000.0,0.0,0.0
2345,智邦,621000.0,2.31%,1890.0,1173690000.0,0.0,0.0
6488,環球晶,1089000.0,2.04%,950.0,1034550000.0,0.0,0.0
2301,光寶科,3230000.0,1.80%,283.5,915705000.0,0.0,0.0
2455,全新,1537000.0,1.67%,552.0,848424000.0,0.0,0.0
2303,聯電,5145000.0,1.62%,160.0,823200000.0,0.0,0.0
2395,研華,1128000.0,1.56%,701.0,790728000.0,-326000.0,-228526000.0
5274,信驊,35900.0,1.43%,20280.0,728052000.0,0.0,0.0
3231,緯創,3660000.0,1.30%,180.0,658800000.0,0.0,0.0
6214,精誠,3460000.0,1.29%,190.0,657400000.0,0.0,0.0
2376,技嘉,1749000.0,1.26%,365.0,638385000.0,0.0,0.0
5483,中美晶,3437000.0,1.25%,184.5,634126500.0,0.0,0.0
3711,日月光投控,906000.0,1.24%,693.0,627858000.0,0.0,0.0
6274,台燿,421000.0,1.21%,1460.0,614660000.0,0.0,0.0
5425,台半,6403000.0,1.21%,95.7,612767100.0,0.0,0.0
3265,台星科,3369000.0,1.19%,180.0,606420000.0,0.0,0.0
8996,高力,382000.0,1.16%,1540.0,588280000.0,0.0,0.0
2428,興勤,2285000.0,1.14%,254.5,581532500.0,0.0,0.0
6239,力成,1910000.0,1.08%,286.5,547215000.0,0.0,0.0
3583,辛耘,790000.0,1.07%,691.0,545890000.0,0.0,0.0
3090,日電貿,3302000.0,1.07%,165.0,544830000.0,0.0,0.0
2467,志聖,1000000.0,1.03%,522.0,522000000.0,0.0,0.0
2478,大毅,4360000.0,1.03%,119.5,521020000.0,0.0,0.0
2377,微星,3372000.0,1.00%,151.0,509172000.0,0.0,0.0
6472,保瑞,1032000.0,0.89%,436.0,449952000.0,0.0,0.0
5536,聖暉*,455000.0,0.80%,893.0,406315000.0,0.0,0.0
2486,一詮,1607000.0,0.73%,232.0,372824000.0,0.0,0.0
3529,力旺,93000.0,0.60%,3305.0,307365000.0,0.0,0.0
6213,聯茂,380000.0,0.40%,541.0,205580000.0,0.0,0.0
6196,帆宣,304000.0,0.33%,549.0,166896000.0,0.0,0.0
6672,騰輝電子-KY,530000.0,0.32%,307.0,162710000.0,0.0,0.0
8070,長華*,3212000.0,0.31%,49.55,159154600.0,0.0,0.0
2476,鉅祥,1281000.0,0.31%,122.0,156282000.0,0.0,0.0
2885,元大金,2213556.0,0.30%,69.6,154063497.6,0.0,0.0
3617,碩天,627000.0,0.30%,243.0,152361000.0,0.0,0.0
6640,均華,143000.0,0.30%,1050.0,150150000.0,0.0,0.0
6446,藥華藥,42000.0,0.10%,1175.0,49350000.0,0.0,0.0
6177,達麗,194350.0,0.02%,46.5,9037275.0,0.0,0.0
3443,創意,1000.0,0.02%,8385.0,8385000.0,0.0,0.0
4441,振大環球,4000.0,0.00%,171.0,684000.0,0.0,0.0
1519,華城,660.0,0.00%,704.0,464640.0,0.0,0.0
8358,金居,1000.0,0.00%,497.0,497000.0,0.0,0.0
2886,兆豐金,1000.0,0.00%,50.0,50000.0,0.0,0.0
2881,富邦金,250.0,0.00%,153.0,38250.0,0.0,0.0
