Date,2026-09-04,Net Asset,10522630721.0

Stock Code,Stock Name,Shares,Weight,Close Price,Market Value,Share Change,Net Amount
2330,台灣積體電路製造,588000.0,13.47%,2410.0,1417080000.0,0.0,0.0
2376,技嘉科技,1215000.0,4.17%,361.0,438615000.0,0.0,0.0
3711,日月光投資控股,706000.0,3.95%,588.0,415128000.0,0.0,0.0
4904,遠傳電信,3832000.0,3.79%,104.0,398528000.0,0.0,0.0
2412,中華電信,2828000.0,3.7%,137.5,388850000.0,0.0,0.0
2395,研華,444000.0,3%,711.0,315684000.0,131000.0,93141000.0
2454,聯發科技,67000.0,2.81%,4415.0,295805000.0,0.0,0.0
6669,緯穎科技服務,114036.0,2.78%,2565.0,292502340.0,-53000.0,-135945000.0
2383,台光電子材料,52000.0,2.68%,5415.0,281580000.0,0.0,0.0
2317,鴻海精密工業,1021000.0,2.48%,256.0,261376000.0,392000.0,100352000.0
6442,光紅建聖,140000.0,2.33%,1755.0,245700000.0,0.0,0.0
3037,欣興電子,252000.0,2.16%,902.0,227304000.0,0.0,0.0
3661,世芯電子,53000.0,2.13%,4220.0,223660000.0,0.0,0.0
7750,新代科技,92000.0,2.11%,2415.0,222180000.0,0.0,0.0
1504,東元電機,2904000.0,1.99%,72.2,209668800.0,0.0,0.0
2345,智邦科技,97000.0,1.94%,2100.0,203700000.0,0.0,0.0
3665,貿聯控股（BizLink Holding In,94000.0,1.92%,2145.0,201630000.0,0.0,0.0
2377,微星科技,1213000.0,1.86%,161.5,195899500.0,1213000.0,195899500.0
2308,台達電子工業,105000.0,1.82%,1825.0,191625000.0,0.0,0.0
3017,奇鋐科技,52000.0,1.76%,3570.0,185640000.0,0.0,0.0
6446,藥華醫藥,138000.0,1.72%,1310.0,180780000.0,0.0,0.0
2610,中華航空,8783000.0,1.71%,20.45,179612350.0,0.0,0.0
2603,長榮海運,726000.0,1.61%,233.0,169158000.0,0.0,0.0
2327,國巨,295000.0,1.58%,562.0,165790000.0,0.0,0.0
3491,昇達科技,107000.0,1.53%,1505.0,161035000.0,0.0,0.0
2881,富邦金融控股,1004000.0,1.44%,150.5,151102000.0,0.0,0.0
2891,中國信託金融控股,2178000.0,1.42%,68.4,148975200.0,0.0,0.0
6488,環球晶圓,143000.0,1.33%,981.0,140283000.0,0.0,0.0
8046,南亞電路板,125000.0,1.25%,1055.0,131875000.0,0.0,0.0
1216,統一企業,1657000.0,1.19%,75.6,125269199.99999999,0.0,0.0
7769,鴻勁精密,18000.0,1.02%,5980.0,107640000.0,0.0,0.0
2027,大成不銹鋼工業,2097000.0,1%,50.2,105269400.0,-2084000.0,-104616800.0
3653,健策精密工業,18000.0,1%,5875.0,105750000.0,0.0,0.0
2303,聯華電子,804000.0,0.99%,130.0,104520000.0,0.0,0.0
6187,萬潤科技,77000.0,0.95%,1305.0,100485000.0,0.0,0.0
8996,高力熱處理工業,76000.0,0.94%,1300.0,98800000.0,0.0,0.0
6147,頎邦科技,517000.0,0.9%,182.5,94352500.0,0.0,0.0
2360,致茂電子,43000.0,0.83%,2030.0,87290000.0,0.0,0.0
1301,台灣塑膠工業,1103000.0,0.69%,66.0,72798000.0,0.0,0.0
3081,聯亞光電工業,22000.0,0.66%,3170.0,69740000.0,0.0,0.0
2408,南亞科技,105000.0,0.49%,496.0,52080000.0,0.0,0.0
2344,華邦電子,243000.0,0.4%,174.0,42282000.0,0.0,0.0
3131,弘塑科技,12000.0,0.27%,2385.0,28620000.0,0.0,0.0
2059,川湖科技,1000.0,0.13%,13860.0,13860000.0,0.0,0.0
3008,大立光電,1000.0,0.07%,7400.0,7400000.0,0.0,0.0
8299,群聯電子,1000.0,0.02%,2015.0,2015000.0,-8000.0,-16120000.0
3189,景碩科技,1000.0,0.01%,819.0,819000.0,-1000.0,-819000.0
3105,穩懋半導體,2000.0,0.01%,449.5,899000.0,-201000.0,-90349500.0
2368,金像電子（股）公司,1000.0,0.01%,1045.0,1045000.0,-18000.0,-18810000.0
3036,文曄科技,1000.0,0%,192.5,192500.0,-26000.0,-5005000.0
