Date,2026-08-21,Net Asset,48767091691.0

Stock Code,Stock Name,Shares,Weight,Close Price,Market Value,Share Change,Net Amount
2330,台積電,1794000.0,8.87%,2410.0,4323540000.0,0.0,0.0
2454,聯發科,872000.0,6.78%,3790.0,3304880000.0,0.0,0.0
6669,緯穎,510000.0,6.54%,6255.0,3190050000.0,0.0,0.0
6139,亞翔,3828000.0,5.98%,762.0,2916936000.0,0.0,0.0
2059,川湖,185000.0,5.08%,13385.0,2476225000.0,0.0,0.0
2383,台光電,320000.0,3.73%,5680.0,1817600000.0,0.0,0.0
3105,穩懋,4809000.0,3.68%,373.0,1793757000.0,0.0,0.0
2360,致茂,844000.0,3.63%,2100.0,1772400000.0,0.0,0.0
6223,旺矽,307000.0,3.44%,5465.0,1677755000.0,0.0,0.0
2345,智邦,817000.0,3.41%,2035.0,1662595000.0,0.0,0.0
6531,愛普*,1650000.0,2.99%,883.0,1456950000.0,210000.0,185430000.0
3008,大立光,257000.0,2.96%,5610.0,1441770000.0,0.0,0.0
4958,臻鼎-KY,3178000.0,2.87%,441.0,1401498000.0,0.0,0.0
3491,昇達科,1000000.0,2.62%,1280.0,1280000000.0,0.0,0.0
3017,奇鋐,379000.0,2.23%,2865.0,1085835000.0,0.0,0.0
6488,環球晶,1117000.0,2.16%,941.0,1051097000.0,0.0,0.0
3583,辛耘,1158000.0,1.67%,704.0,815232000.0,0.0,0.0
3264,欣銓,3985000.0,1.66%,203.0,808955000.0,-795000.0,-161385000.0
6274,台燿,434000.0,1.33%,1495.0,648830000.0,0.0,0.0
2455,全新,1572000.0,1.31%,406.0,638232000.0,0.0,0.0
6214,精誠,3504000.0,1.29%,179.5,628968000.0,0.0,0.0
5483,中美晶,3533000.0,1.27%,176.0,621808000.0,0.0,0.0
2377,微星,4386000.0,1.27%,141.5,620619000.0,0.0,0.0
2303,聯電,5285000.0,1.26%,116.5,615702500.0,0.0,0.0
2376,技嘉,1800000.0,1.25%,339.5,611100000.0,0.0,0.0
3231,緯創,3432000.0,1.24%,175.5,602316000.0,0.0,0.0
2301,光寶科,2289000.0,1.23%,261.0,597429000.0,0.0,0.0
2428,興勤,2356000.0,1.22%,253.5,597246000.0,0.0,0.0
2395,研華,901000.0,1.20%,649.0,584749000.0,0.0,0.0
3265,台星科,3472000.0,1.19%,167.5,581560000.0,0.0,0.0
3711,日月光投控,959000.0,1.15%,587.0,562933000.0,0.0,0.0
3090,日電貿,3396000.0,1.15%,165.0,560340000.0,0.0,0.0
2467,志聖,1000000.0,1.15%,560.0,560000000.0,0.0,0.0
2478,大毅,4484000.0,1.14%,123.5,553774000.0,0.0,0.0
5274,信驊,35900.0,1.13%,15350.0,551065000.0,0.0,0.0
8996,高力,382000.0,0.85%,1090.0,416380000.0,0.0,0.0
5536,聖暉*,459000.0,0.83%,880.0,403920000.0,0.0,0.0
6472,保瑞,516000.0,0.48%,455.0,234780000.0,258000.0,117390000.0
2486,一詮,950000.0,0.47%,243.5,231325000.0,950000.0,231325000.0
3529,力旺,93000.0,0.41%,2155.0,200415000.0,0.0,0.0
6239,力成,710000.0,0.39%,267.5,189925000.0,0.0,0.0
6213,聯茂,321000.0,0.34%,513.0,164673000.0,0.0,0.0
3617,碩天,603000.0,0.32%,259.5,156478500.0,0.0,0.0
6196,帆宣,310000.0,0.31%,490.5,152055000.0,0.0,0.0
2476,鉅祥,1303000.0,0.31%,116.5,151799500.0,0.0,0.0
6672,騰輝電子-KY,546000.0,0.30%,267.5,146055000.0,0.0,0.0
2885,元大金,2213556.0,0.29%,64.0,141667584.0,0.0,0.0
8070,長華*,2871000.0,0.29%,48.8,140104800.0,0.0,0.0
5425,台半,1544000.0,0.28%,88.2,136180800.0,0.0,0.0
6446,藥華藥,42000.0,0.12%,1400.0,58800000.0,0.0,0.0
6177,達麗,194350.0,0.02%,47.5,9231625.0,0.0,0.0
3443,創意,1000.0,0.01%,5600.0,5600000.0,0.0,0.0
8046,南電,1000.0,0.00%,1135.0,1135000.0,0.0,0.0
4441,振大環球,4000.0,0.00%,182.0,728000.0,0.0,0.0
1519,華城,660.0,0.00%,723.0,477180.0,0.0,0.0
8358,金居,1000.0,0.00%,436.0,436000.0,0.0,0.0
3706,神達,1400.0,0.00%,90.0,126000.0,0.0,0.0
2886,兆豐金,1000.0,0.00%,46.95,46950.0,0.0,0.0
2881,富邦金,250.0,0.00%,134.0,33500.0,0.0,0.0
