Date,2026-01-12,Net Asset,11083349903.0

Stock Code,Stock Name,Shares,Weight,Close Price,Market Value,Share Change,Net Amount
2330,台積電,565000.0,8.62%,1690.0,954850000.0,-4000.0,-6760000.0
8299,群聯,341000.0,5.46%,1775.0,605275000.0,-2000.0,-3550000.0
2308,台達電,502000.0,4.78%,1055.0,529610000.0,-4000.0,-4220000.0
3017,奇鋐,362000.0,4.43%,1355.0,490510000.0,-4000.0,-5420000.0
2059,川湖,129000.0,3.92%,3365.0,434085000.0,-1000.0,-3365000.0
3665,貿聯-KY,305000.0,3.84%,1395.0,425475000.0,-3000.0,-4185000.0
2345,智邦,350000.0,3.81%,1205.0,421750000.0,-3000.0,-3615000.0
6223,旺矽,170000.0,3.37%,2200.0,374000000.0,-1000.0,-2200000.0
2383,台光電,229000.0,3.33%,1610.0,368690000.0,-3000.0,-4830000.0
6669,緯穎,83000.0,3.07%,4095.0,339885000.0,-1000.0,-4095000.0
6515,穎崴,97000.0,3.04%,3470.0,336590000.0,0.0,0.0
7769,鴻勁,88000.0,2.74%,3445.0,303160000.0,0.0,0.0
2360,致茂,307000.0,2.64%,954.0,292878000.0,0.0,0.0
6274,台燿,592000.0,2.54%,475.5,281496000.0,-5000.0,-2377500.0
8996,高力,366000.0,2.30%,698.0,255468000.0,0.0,0.0
3131,弘塑,139000.0,2.29%,1825.0,253675000.0,0.0,0.0
5347,世界,2073000.0,2.23%,119.0,246687000.0,1073000.0,127687000.0
1519,華城,292000.0,2.15%,817.0,238564000.0,0.0,0.0
6781,AES-KY,182000.0,2.13%,1300.0,236600000.0,0.0,0.0
3661,世芯-KY,63000.0,2.06%,3630.0,228690000.0,33000.0,119790000.0
2408,南亞科,950000.0,2.05%,239.0,227050000.0,0.0,0.0
3260,威剛,819000.0,2.02%,274.0,224406000.0,-7000.0,-1918000.0
3163,波若威,625000.0,2.02%,358.5,224062500.0,-6000.0,-2151000.0
2451,創見,945000.0,2.02%,237.0,223965000.0,0.0,0.0
5536,聖暉*,238000.0,1.70%,791.0,188258000.0,0.0,0.0
2368,金像電,269000.0,1.62%,666.0,179154000.0,-2000.0,-1332000.0
8358,金居,696000.0,1.61%,256.0,178176000.0,0.0,0.0
6442,光聖,124000.0,1.58%,1415.0,175460000.0,0.0,0.0
8210,勤誠,162000.0,1.33%,911.0,147582000.0,0.0,0.0
2327,國巨*,585000.0,1.31%,247.5,144787500.0,517000.0,127957500.0
3324,雙鴻,130000.0,1.13%,963.0,125190000.0,-100000.0,-96300000.0
3529,力旺,73000.0,1.12%,1695.0,123735000.0,-1000.0,-1695000.0
4749,新應材,132000.0,1.11%,930.0,122760000.0,0.0,0.0
2449,京元電子,438000.0,1.07%,270.0,118260000.0,0.0,0.0
2344,華邦電,1079000.0,0.99%,102.0,110058000.0,0.0,0.0
6531,愛普*,233000.0,0.99%,472.0,109976000.0,0.0,0.0
8021,尖點,500000.0,0.98%,218.0,109000000.0,0.0,0.0
5289,宜鼎,157000.0,0.89%,627.0,98439000.0,-1000.0,-627000.0
3037,欣興,365000.0,0.80%,243.5,88877500.0,0.0,0.0
6805,富世達,55000.0,0.66%,1330.0,73150000.0,-1000.0,-1330000.0
2317,鴻海,320000.0,0.66%,228.5,73120000.0,-3000.0,-685500.0
5274,信驊,9000.0,0.65%,8055.0,72495000.0,0.0,0.0
3443,創意,25000.0,0.55%,2435.0,60875000.0,0.0,0.0
2382,廣達,213000.0,0.54%,280.5,59746500.0,0.0,0.0
5439,高技,122000.0,0.35%,320.0,39040000.0,-1000.0,-320000.0
3189,景碩,213000.0,0.35%,181.0,38553000.0,-2000.0,-362000.0
8046,南電,147000.0,0.34%,254.5,37411500.0,0.0,0.0
3653,健策,14000.0,0.32%,2535.0,35490000.0,0.0,0.0
6584,南俊國際,104000.0,0.30%,320.0,33280000.0,0.0,0.0
