Date,2026-07-03,Net Asset,10581669693.0

Stock Code,Stock Name,Shares,Weight,Close Price,Market Value,Share Change,Net Amount
2330,台灣積體電路製造,1096000.0,25.32%,2445.0,2679720000.0,0.0,0.0
2376,技嘉科技,1064000.0,3.4%,338.5,360164000.0,142000.0,48067000.0
3661,世芯電子,73000.0,3.21%,4650.0,339450000.0,0.0,0.0
6442,光紅建聖,200000.0,3.1%,1640.0,328000000.0,38000.0,62320000.0
2059,川湖科技,37000.0,2.8%,8000.0,296000000.0,0.0,0.0
3008,大立光電,68000.0,2.72%,4230.0,287640000.0,15000.0,63450000.0
2395,研華,545000.0,2.68%,521.0,283945000.0,117000.0,60957000.0
4958,臻鼎科技控股,413000.0,2.39%,613.0,253169000.0,0.0,0.0
2345,智邦科技,92000.0,2.38%,2735.0,251620000.0,0.0,0.0
2383,台光電子材料,41000.0,2.36%,6080.0,249280000.0,0.0,0.0
3036,文曄科技,1111000.0,2.33%,221.5,246086500.0,0.0,0.0
3131,弘塑科技,65000.0,2.33%,3785.0,246025000.0,0.0,0.0
2303,聯華電子,1204000.0,1.94%,170.5,205282000.0,0.0,0.0
2360,致茂電子,90000.0,1.93%,2265.0,203850000.0,-24000.0,-54360000.0
2412,中華電信,1431000.0,1.91%,141.0,201771000.0,0.0,0.0
6187,萬潤科技,193000.0,1.88%,1030.0,198790000.0,78000.0,80340000.0
6147,頎邦科技,911000.0,1.86%,215.5,196320500.0,420000.0,90510000.0
3017,奇鋐科技,68000.0,1.77%,2760.0,187680000.0,0.0,0.0
6223,旺矽科技,22000.0,1.53%,7380.0,162360000.0,0.0,0.0
2454,聯發科技,38000.0,1.51%,4195.0,159410000.0,-8000.0,-33560000.0
2368,金像電子（股）公司,121000.0,1.49%,1305.0,157905000.0,-38000.0,-49590000.0
2344,華邦電子,851000.0,1.48%,184.5,157009500.0,192000.0,35424000.0
2408,南亞科技,382000.0,1.48%,409.5,156429000.0,87000.0,35626500.0
3081,聯亞光電工業,67000.0,1.33%,2100.0,140700000.0,-23000.0,-48300000.0
2308,台達電子工業,68000.0,1.33%,2075.0,141100000.0,0.0,0.0
8046,南亞電路板,118000.0,1.32%,1185.0,139830000.0,-30000.0,-35550000.0
8299,群聯電子,61000.0,1.32%,2295.0,139995000.0,0.0,0.0
3653,健策精密工業,37000.0,1.2%,3420.0,126540000.0,-9000.0,-30780000.0
3293,鈊象電子,156000.0,1.17%,797.0,124332000.0,-39000.0,-31083000.0
1802,台灣玻璃工業,1555000.0,1.01%,68.8,106984000.0,-355000.0,-24424000.0
2049,上銀科技,302000.0,1%,350.0,105700000.0,-70000.0,-24500000.0
1216,統一企業,1303000.0,0.94%,76.3,99418900.0,-376000.0,-28688800.0
3711,日月光投資控股,140000.0,0.9%,682.0,95480000.0,-23000.0,-15686000.0
7769,鴻勁精密,13000.0,0.84%,6865.0,89245000.0,-3000.0,-20595000.0
8996,高力熱處理工業,59000.0,0.77%,1380.0,81420000.0,-11000.0,-15180000.0
6669,緯穎科技服務,15000.0,0.75%,5265.0,78975000.0,-4000.0,-21060000.0
2881,富邦金融控股,589000.0,0.67%,121.0,71269000.0,-151000.0,-18271000.0
3529,力旺電子,25000.0,0.65%,2770.0,69250000.0,-6000.0,-16620000.0
3105,穩懋半導體,149000.0,0.58%,411.0,61239000.0,-38000.0,-15618000.0
4904,遠傳電信,584000.0,0.58%,105.0,61320000.0,0.0,0.0
6415,矽力杰,98000.0,0.56%,605.0,59290000.0,-21000.0,-12705000.0
2891,中國信託金融控股,771000.0,0.51%,70.6,54432599.99999999,-206000.0,-14543599.999999998
6488,環球晶圓,40000.0,0.47%,1255.0,50200000.0,-10000.0,-12550000.0
3665,貿聯控股（BizLink Holding In,13000.0,0.25%,1995.0,25935000.0,0.0,0.0
6805,富世達,14000.0,0.22%,1630.0,22820000.0,0.0,0.0
3533,嘉澤端子工業,10000.0,0.21%,2175.0,21750000.0,0.0,0.0
2317,鴻海精密工業,64000.0,0.15%,240.5,15392000.0,0.0,0.0
3037,欣興電子,6000.0,0.05%,969.0,5814000.0,0.0,0.0
6239,力成科技,12000.0,0.04%,338.0,4056000.0,0.0,0.0
3189,景碩科技,2000.0,0.02%,833.0,1666000.0,0.0,0.0
